sample_id,image_path,target_text,prediction,target_length,prediction_length,image_width,image_height,feature_width,ctc_T,required_T,temporal_margin,blank_percentage,nonblank_timesteps,prediction_target_ratio,CER,WER,exact_match,bucket
33,images/tamil_test_003981.jpg,சிசி,சிட்,4,4,1581,301,42,42,4,38,90.47619104385376,4,1.0,0.5,1.0,0,1-5
34,images/tamil_test_001373.jpg,அணுகி,அணுக்,5,5,1522,256,47,47,5,42,89.36169743537903,5,1.0,0.2,1.0,0,1-5
35,images/tamil_test_001504.jpg,செய்க,ரச்்,5,4,1783,323,44,44,5,39,90.90909361839294,4,0.8,0.8,1.0,0,1-5
36,images/tamil_test_004677.jpg,புதை,புதைத்,4,6,2560,437,46,46,4,42,86.95652484893799,6,1.5,0.5,1.0,0,1-5
37,images/tamil_test_004064.jpg,கூட,சூடக,3,4,1801,254,56,56,3,53,92.85714626312256,4,1.3333333333333333,0.6666666666666666,1.0,0,1-5
38,images/tamil_test_001827.jpg,சேதி,நேத்்,4,5,800,295,21,21,4,17,76.1904776096344,5,1.25,0.75,1.0,0,1-5
39,images/tamil_test_002209.jpg,வேலு,வேலுப்,4,6,1717,247,55,55,4,51,89.09090757369995,6,1.5,0.5,1.0,0,1-5
40,images/tamil_test_002737.jpg,கூறிய,கூறிய்,5,6,1659,252,52,52,5,47,88.4615421295166,6,1.2,0.2,1.0,0,1-5
41,images/tamil_test_002178.jpg,மீறல்,மீற்,5,4,1210,295,32,32,5,27,87.5,4,0.8,0.2,1.0,0,1-5
42,images/tamil_test_001682.jpg,சுசி,சுஜ்,4,4,1651,301,43,43,4,39,90.69767594337463,4,1.0,0.5,1.0,0,1-5
43,images/tamil_test_003136.jpg,ஓர்,ஓலக்்,3,5,1306,290,36,36,3,33,86.11111044883728,5,1.6666666666666667,1.0,1.0,0,1-5
44,images/tamil_test_004384.jpg,வேலு,வேகிப்,4,6,1721,253,54,54,4,50,88.88888955116272,6,1.5,1.0,1.0,0,1-5
45,images/tamil_test_001727.jpg,வலது,வலத்,4,4,1909,248,61,61,4,57,93.44261884689331,4,1.0,0.25,1.0,0,1-5
46,images/tamil_test_001445.jpg,தேசம்,தேசி்,5,5,1259,310,32,32,5,27,84.375,5,1.0,0.2,1.0,0,1-5
47,images/tamil_test_000939.jpg,சாயல்,சாய்,5,4,1603,296,43,43,5,38,90.69767594337463,4,0.8,0.2,1.0,0,1-5
48,images/tamil_test_003291.jpg,கையே,கைகய்,4,5,1874,314,47,47,4,43,89.36169743537903,5,1.25,0.5,1.0,0,1-5
49,images/tamil_test_002735.jpg,பயனே,பயன்,4,4,1327,303,35,35,4,31,88.57142925262451,4,1.0,0.25,1.0,0,1-5
50,images/tamil_test_003851.jpg,தொடச்சு,தொடத்்,7,6,1979,256,61,61,7,54,90.16392827033997,6,0.8571428571428571,0.42857142857142855,1.0,0,6-10
51,images/tamil_test_000127.jpg,என்பவரை,ரின்,7,4,1348,373,28,28,7,21,85.71429252624512,4,0.5714285714285714,0.8571428571428571,1.0,0,6-10
52,images/tamil_test_000620.jpg,அலுவலகத்,அயுக்,8,5,2108,407,41,41,8,33,87.80487775802612,5,0.625,0.5,1.0,0,6-10
53,images/tamil_test_003509.jpg,அரசனின்,அர்ச்,7,5,1263,293,34,34,7,27,85.29411554336548,5,0.7142857142857143,0.5714285714285714,1.0,0,6-10
54,images/tamil_test_000729.jpg,ரரூபாய்,ரவ,7,2,626,292,17,17,8,9,88.23529481887817,2,0.2857142857142857,0.8571428571428571,1.0,0,6-10
55,images/tamil_test_003197.jpg,அசிங்கமாக,அவி்,9,4,961,294,26,26,9,17,84.61538553237915,4,0.4444444444444444,0.6666666666666666,1.0,0,6-10
56,images/tamil_test_002425.jpg,போகவேண்டிய,போக்,10,4,1774,353,40,40,10,30,90.00000357627869,4,0.4,0.6,1.0,0,6-10
57,images/tamil_test_002042.jpg,கீயுடன்,கீர்த்ை்,7,8,1827,306,47,47,7,40,82.97871947288513,8,1.1428571428571428,0.7142857142857143,1.0,0,6-10
58,images/tamil_test_002873.jpg,சங்கரா,சங்க்,6,5,1911,249,61,61,6,55,91.80327653884888,5,0.8333333333333334,0.3333333333333333,1.0,0,6-10
59,images/tamil_test_003355.jpg,கலவரத்தில்,க்லவை்,10,6,1319,307,34,34,10,24,82.35294222831726,6,0.6,0.7,1.0,0,6-10
60,images/tamil_test_004498.jpg,முடிகின்றன,முடி,10,4,1106,364,24,24,10,14,83.33333730697632,4,0.4,0.6,1.0,0,6-10
61,images/tamil_test_001310.jpg,இவ்வருடம்,இீய்ப்,9,6,1563,296,42,42,9,33,85.71428656578064,6,0.6666666666666666,0.7777777777777778,1.0,0,6-10
62,images/tamil_test_003661.jpg,இதயங்களும்,கிதிய்,10,6,1583,388,32,32,10,22,81.25,6,0.6,0.9,1.0,0,6-10
63,images/tamil_test_002287.jpg,ஸீன்கள்,ஸோடி்,7,5,1476,307,38,38,7,31,86.84210777282715,5,0.7142857142857143,0.7142857142857143,1.0,0,6-10
64,images/tamil_test_003682.jpg,மரபியல்,ம்ர்பு்,7,7,1631,380,34,34,7,27,79.41176295280457,7,1.0,0.7142857142857143,1.0,0,6-10
65,images/tamil_test_001640.jpg,நிராகரித்த,நிருத்து்,10,9,1767,245,57,57,10,47,84.21052694320679,9,0.9,0.6,1.0,0,6-10
66,images/tamil_test_002852.jpg,பிற்பகலில்,பிற்ப,10,5,1222,389,25,25,10,15,79.99999523162842,5,0.5,0.5,1.0,0,6-10
67,images/tamil_test_001278.jpg,துறவியைப்,தறை்,9,4,1483,272,43,43,9,34,90.69767594337463,4,0.4444444444444444,0.5555555555555556,1.0,0,6-10
68,images/tamil_test_002706.jpg,மதத்தை,மதத்து்,6,7,1440,292,39,39,7,32,82.05128312110901,7,1.1666666666666667,0.3333333333333333,1.0,0,6-10
69,images/tamil_test_003388.jpg,வீக்கமும்,வீக்,9,4,845,348,19,19,9,10,78.94737124443054,4,0.4444444444444444,0.5555555555555556,1.0,0,6-10
70,images/tamil_test_001663.jpg,நஷ்டங்களை,நளும்,9,5,1112,297,29,29,9,20,82.75861740112305,5,0.5555555555555556,0.7777777777777778,1.0,0,6-10
71,images/tamil_test_000422.jpg,காமராஜரின்,காம்,10,4,1469,390,30,30,10,20,86.66667342185974,4,0.4,0.6,1.0,0,6-10
72,images/tamil_test_003827.jpg,தட்டின,தட்டி்,6,6,1549,296,41,41,6,35,85.36584973335266,6,1.0,0.16666666666666666,1.0,0,6-10
73,images/tamil_test_003885.jpg,கதைகளைப்,கதைக்்,8,6,1826,257,56,56,8,48,89.28571939468384,6,0.75,0.375,1.0,0,6-10
74,images/tamil_test_002222.jpg,முதலையின்,முதலா்,9,6,1873,246,60,60,9,51,90.00000357627869,6,0.6666666666666666,0.4444444444444444,1.0,0,6-10
75,images/tamil_test_001371.jpg,அதற்கேற்ப,அத்,9,3,1661,258,51,51,9,42,94.11765336990356,3,0.3333333333333333,0.6666666666666666,1.0,0,6-10
76,images/tamil_test_003027.jpg,ஸீன்கள்,ஸோபா,7,4,1480,299,39,39,7,32,89.74359035491943,4,0.5714285714285714,0.8571428571428571,1.0,0,6-10
77,images/tamil_test_002007.jpg,முன்னாள்,முன்னட்,8,7,1603,279,45,45,8,37,84.44444537162781,7,0.875,0.25,1.0,0,6-10
78,images/tamil_test_002535.jpg,வாரிசுக்கு,வாரிப்,10,6,977,294,26,26,10,16,76.92307829856873,6,0.6,0.5,1.0,0,6-10
79,images/tamil_test_002070.jpg,ஈட்டியது,ஈதர்்,8,5,1618,249,51,51,8,43,90.19607901573181,5,0.625,0.875,1.0,0,6-10
80,images/tamil_test_001324.jpg,அடிக்கும்,அடிச்,9,5,856,290,23,23,9,14,78.2608687877655,5,0.5555555555555556,0.5555555555555556,1.0,0,6-10
81,images/tamil_test_004730.jpg,ஒன்றல்ல,ஒன்றா்,7,6,1217,337,28,28,7,21,78.5714328289032,6,0.8571428571428571,0.2857142857142857,1.0,0,6-10
82,images/tamil_test_002668.jpg,ஜெனீவா,ஜெட்ட்,6,6,1689,301,44,44,6,38,86.36363744735718,6,1.0,0.6666666666666666,1.0,0,6-10
83,images/tamil_test_000755.jpg,வழங்கின,வழங்கி்,7,7,1352,299,36,36,7,29,77.77777910232544,8,1.0,0.14285714285714285,1.0,0,6-10
84,images/tamil_test_003705.jpg,தேதியுடன்,தேத்்,9,5,1354,352,30,30,9,21,83.33333730697632,5,0.5555555555555556,0.5555555555555556,1.0,0,6-10
85,images/tamil_test_004022.jpg,இயற்கையும்,இயறை்,10,5,1748,308,45,45,10,35,88.88888955116272,5,0.5,0.5,1.0,0,6-10
86,images/tamil_test_001052.jpg,தாலிபன்,தாலி்,7,5,1621,293,44,44,7,37,88.6363685131073,5,0.7142857142857143,0.2857142857142857,1.0,0,6-10
87,images/tamil_test_000575.jpg,டெலிவாி,எடல,7,3,1080,346,24,24,7,17,87.5,3,0.42857142857142855,0.8571428571428571,1.0,0,6-10
88,images/tamil_test_003594.jpg,மணியும்,மணிய்,7,5,1379,297,37,37,7,30,86.48648858070374,5,0.7142857142857143,0.2857142857142857,1.0,0,6-10
89,images/tamil_test_003411.jpg,ஜெனீவா,ஜெய்்,6,5,1698,305,44,44,6,38,88.6363685131073,5,0.8333333333333334,0.6666666666666666,1.0,0,6-10
90,images/tamil_test_003816.jpg,லாபமடையும்,லாயர்்,10,6,1616,244,52,52,10,42,88.4615421295166,6,0.6,0.6,1.0,0,6-10
91,images/tamil_test_000770.jpg,ஜப்பானின்,ஜன்ப,9,4,1685,299,45,45,9,36,91.11111164093018,4,0.4444444444444444,0.6666666666666666,1.0,0,6-10
92,images/tamil_test_002909.jpg,பிக்கின்,பாக்்,8,5,1257,295,34,34,8,26,85.29411554336548,5,0.625,0.5,1.0,0,6-10
93,images/tamil_test_004063.jpg,ஹார்மோன்,ஹர்்,8,4,1667,303,44,44,8,36,90.90909361839294,4,0.5,0.5,1.0,0,6-10
94,images/tamil_test_004728.jpg,கூறலாமா,கூற்,7,4,1587,366,34,34,7,27,88.23529481887817,4,0.5714285714285714,0.5714285714285714,1.0,0,6-10
95,images/tamil_test_000748.jpg,புரள்வது,புராட்,8,6,1566,301,41,41,8,33,85.36584973335266,6,0.75,0.625,1.0,0,6-10
96,images/tamil_test_001969.jpg,நாமினேஷன்,நாடு்,9,5,907,298,24,24,9,15,79.16666865348816,5,0.5555555555555556,0.6666666666666666,1.0,0,6-10
97,images/tamil_test_004389.jpg,லேபிப்,லேய,6,3,977,298,26,26,6,20,88.4615421295166,3,0.5,0.6666666666666666,1.0,0,6-10
98,images/tamil_test_003045.jpg,வாதியும்,வாத்திய்,8,8,1587,246,51,51,8,43,84.3137264251709,8,1.0,0.5,1.0,0,6-10
99,images/tamil_test_002110.jpg,சாதாரணமா,சாதா்,8,5,1623,272,47,47,8,39,89.36169743537903,5,0.625,0.5,1.0,0,6-10
100,images/tamil_test_001951.jpg,நீதிமன்றங்கள்,நீநிம்்,13,7,2026,319,50,50,13,37,85.999995470047,7,0.5384615384615384,0.5384615384615384,1.0,0,11-15
101,images/tamil_test_004368.jpg,வைப்பதற்காக,கைட்,11,4,1737,383,36,36,11,25,88.88888955116272,4,0.36363636363636365,0.8181818181818182,1.0,0,11-15
102,images/tamil_test_003812.jpg,கொழுக்கட்டை,கொழ்த்,11,6,1502,372,32,32,11,21,81.25,6,0.5454545454545454,0.5454545454545454,1.0,0,11-15
103,images/tamil_test_001723.jpg,பிரச்சனைகளை,பிரச்சை்,11,8,2162,244,70,70,11,59,88.57142925262451,8,0.7272727272727273,0.36363636363636365,1.0,0,11-15
104,images/tamil_test_000258.jpg,இவருக்கல்லவா,ஜீவ்,12,4,1349,371,29,29,12,17,79.31034564971924,6,0.3333333333333333,0.9166666666666666,1.0,0,11-15
105,images/tamil_test_004102.jpg,அறிந்துள்ளதாக,ஓறிற்,13,5,1517,332,36,36,13,23,86.11111044883728,5,0.38461538461538464,0.7692307692307693,1.0,0,11-15
106,images/tamil_test_001570.jpg,கதாபாத்திரத்தை,கதிர்,14,5,1434,339,33,33,14,19,84.84848737716675,5,0.35714285714285715,0.6428571428571429,1.0,0,11-15
107,images/tamil_test_003728.jpg,இல்லாதவர்களாக,இல்ல்,13,5,1707,299,45,45,13,32,88.88888955116272,5,0.38461538461538464,0.6153846153846154,1.0,0,11-15
108,images/tamil_test_004724.jpg,திடகாத்திரமான,திம்,13,4,1276,301,33,33,13,20,87.87878751754761,4,0.3076923076923077,0.7692307692307693,1.0,0,11-15
109,images/tamil_test_000500.jpg,நிறுத்தப்பட்டது,நிறுத்்,15,7,2371,257,73,73,15,58,90.41095972061157,7,0.4666666666666667,0.5333333333333333,1.0,0,11-15
110,images/tamil_test_002330.jpg,நிகழ்வுகளைப்,நிகம,12,4,1294,347,29,29,12,17,86.20689511299133,4,0.3333333333333333,0.75,1.0,0,11-15
111,images/tamil_test_002830.jpg,பத்திரிக்கைக்கு,பத்திரி,15,7,2808,256,87,87,15,72,91.95402264595032,7,0.4666666666666667,0.5333333333333333,1.0,0,11-15
112,images/tamil_test_000494.jpg,இன்னல்களுக்கு,விழ்ற்ி்,13,8,1486,406,29,29,13,16,72.41379022598267,8,0.6153846153846154,0.8461538461538461,1.0,0,11-15
113,images/tamil_test_003100.jpg,பொருளுலகத்தில்,போரு்,14,5,1491,386,30,30,14,16,83.33333730697632,5,0.35714285714285715,0.7142857142857143,1.0,0,11-15
114,images/tamil_test_000704.jpg,மாத்திரமல்ல,மாத்து்,11,7,1607,296,43,43,11,32,83.72092843055725,7,0.6363636363636364,0.45454545454545453,1.0,0,11-15
115,images/tamil_test_003571.jpg,ஒருபண்டிகையாகக்,ஒருப்,15,5,1398,295,37,37,16,21,86.48648858070374,5,0.3333333333333333,0.6666666666666666,1.0,0,11-15
116,images/tamil_test_001001.jpg,இடதுசாரிகளும்,இடத்த்,13,6,1351,300,36,36,13,23,83.33333134651184,6,0.46153846153846156,0.6923076923076923,1.0,0,11-15
117,images/tamil_test_002752.jpg,எதிர்ப்படும்,எதிர்பப்,12,8,1678,303,44,44,12,32,81.81818723678589,8,0.6666666666666666,0.3333333333333333,1.0,0,11-15
118,images/tamil_test_004200.jpg,கிடைத்துள்ளது,கிடைத்த்,13,8,1861,253,58,58,13,45,86.20689511299133,8,0.6153846153846154,0.38461538461538464,1.0,0,11-15
119,images/tamil_test_001167.jpg,ஆயிரத்திற்கும்,ஆயி்,14,4,1302,369,28,28,14,14,85.71429252624512,4,0.2857142857142857,0.7142857142857143,1.0,0,11-15
120,images/tamil_test_004212.jpg,உற்சாகமிழக்க,உந்்,12,4,1399,339,33,33,12,21,87.87878751754761,4,0.3333333333333333,0.75,1.0,0,11-15
121,images/tamil_test_003645.jpg,கற்சுவற்றருகே,கற்க்,13,5,1231,307,32,32,13,19,84.375,5,0.38461538461538464,0.6923076923076923,1.0,0,11-15
122,images/tamil_test_002968.jpg,வெற்றிகரமான,கொழற்ற,11,6,1281,396,25,25,11,14,75.99999904632568,6,0.5454545454545454,0.8181818181818182,1.0,0,11-15
123,images/tamil_test_003512.jpg,ஸ்தாபனங்களான,ஸ்தீ,12,4,1664,253,52,52,12,40,92.30769872665405,4,0.3333333333333333,0.75,1.0,0,11-15
124,images/tamil_test_003825.jpg,அணிந்தால்தான்,அணிந்த்,13,7,1826,253,57,57,13,44,87.71929740905762,7,0.5384615384615384,0.46153846153846156,1.0,0,11-15
125,images/tamil_test_004814.jpg,அளித்துவரும்,அளிப்த்,12,7,1761,353,39,39,12,27,82.05128312110901,7,0.5833333333333334,0.5,1.0,0,11-15
126,images/tamil_test_000948.jpg,சொல்கிறீர்கள்,சொல்கி்,13,7,1586,276,45,45,13,32,84.44444537162781,7,0.5384615384615384,0.46153846153846156,1.0,0,11-15
127,images/tamil_test_003377.jpg,நாவலுக்குள்,நாவ்,11,4,1612,245,52,52,11,41,92.30769872665405,4,0.36363636363636365,0.6363636363636364,1.0,0,11-15
128,images/tamil_test_000250.jpg,நிகழ்வுகளைப்,நிகர்,12,5,1289,298,34,34,12,22,85.29411554336548,5,0.4166666666666667,0.6666666666666666,1.0,0,11-15
129,images/tamil_test_002307.jpg,குற்றமற்றவள்,குற்ற்,12,6,1492,294,40,40,12,28,85.00000238418579,6,0.5,0.5,1.0,0,11-15
130,images/tamil_test_003386.jpg,இருக்கானுங்க,இருக்,12,5,1517,388,31,31,12,19,83.87096524238586,5,0.4166666666666667,0.5833333333333334,1.0,0,11-15
131,images/tamil_test_004799.jpg,கெஞ்சினாலும்,செட்ட்,12,6,1387,409,27,27,12,15,77.77777910232544,6,0.5,0.75,1.0,0,11-15
132,images/tamil_test_000610.jpg,காரணங்களாகவும்,கார்,14,4,2163,249,69,69,14,55,94.20289993286133,4,0.2857142857142857,0.7142857142857143,1.0,0,11-15
133,images/tamil_test_003056.jpg,சுற்றுலாவாசிகள்,சுற்று்,15,7,1344,296,36,36,15,21,80.55555820465088,7,0.4666666666666667,0.5333333333333333,1.0,0,11-15
134,images/tamil_test_001767.jpg,தெரிவிக்கின்றன,தெரிவிக்கக்,14,11,2068,249,66,66,14,52,83.33333730697632,11,0.7857142857142857,0.2857142857142857,1.0,0,11-15
135,images/tamil_test_000708.jpg,பெருக்கியிலும்,பெருக்்,14,7,1691,295,45,45,14,31,84.44444537162781,7,0.5,0.5,1.0,0,11-15
136,images/tamil_test_003992.jpg,சண்டிகேசுவரர்,ந்ள்கட,13,6,1807,412,35,35,14,21,82.85714387893677,6,0.46153846153846156,0.8461538461538461,1.0,0,11-15
137,images/tamil_test_003096.jpg,தேர்வெழுதவும்,தேர்்,13,5,767,300,20,20,13,7,75.0,5,0.38461538461538464,0.6153846153846154,1.0,0,11-15
138,images/tamil_test_002616.jpg,பிள்ளைகளுடனேயே,பிள்ள்,14,6,1615,300,43,43,14,29,86.04651093482971,6,0.42857142857142855,0.6428571428571429,1.0,0,11-15
139,images/tamil_test_004606.jpg,இல்லாமலில்லை,இல்ல்,12,5,1648,334,39,39,12,27,87.17948794364929,5,0.4166666666666667,0.5833333333333334,1.0,0,11-15
140,images/tamil_test_003532.jpg,சென்றுள்ளது,சென்று்,11,7,1599,326,39,39,11,28,82.05128312110901,7,0.6363636363636364,0.36363636363636365,1.0,0,11-15
141,images/tamil_test_003842.jpg,தேர்வெழுதவும்,நேர்,13,4,761,329,18,18,13,5,77.77777910232544,4,0.3076923076923077,0.7692307692307693,1.0,0,11-15
142,images/tamil_test_000222.jpg,மாற்றத்தைத்தான்,மாற்ற்,15,6,1999,254,62,62,15,47,90.32257795333862,6,0.4,0.6,1.0,0,11-15
143,images/tamil_test_000146.jpg,எனபோலீசாருக்கு,கோரிர்,14,6,1095,363,24,24,14,10,75.0,6,0.42857142857142855,0.7857142857142857,1.0,0,11-15
144,images/tamil_test_002375.jpg,படைப்பாளிகள்,படைப்்,12,6,1772,248,57,57,12,45,89.47368264198303,6,0.5,0.5,1.0,0,11-15
145,images/tamil_test_003426.jpg,மனிதாபிமானம்,மண்வா்,12,6,2228,305,58,58,12,46,89.65517282485962,6,0.5,0.75,1.0,0,11-15
146,images/tamil_test_003667.jpg,இனத்தவருக்கும்,இனத்்,14,5,1499,296,40,40,14,26,87.5,5,0.35714285714285715,0.6428571428571429,1.0,0,11-15
147,images/tamil_test_001711.jpg,தனிமனிதர்களே,தண்ன்,12,5,1443,362,31,31,12,19,83.87096524238586,5,0.4166666666666667,0.75,1.0,0,11-15
148,images/tamil_test_001619.jpg,கேளிக்கையில்,கேள்ள்,12,6,1490,367,32,32,12,20,81.25,6,0.5,0.5833333333333334,1.0,0,11-15
149,images/tamil_test_001280.jpg,விவகாரங்கள்,விறகார்,11,7,1993,260,61,61,11,50,88.52458596229553,7,0.6363636363636364,0.45454545454545453,1.0,0,11-15
150,images/tamil_test_002331.jpg,நெழ்ச்சியூட்டும்,நேச்,16,4,1297,295,35,35,16,19,88.57142925262451,4,0.25,0.8125,1.0,0,16+
151,images/tamil_test_002977.jpg,கெடைக்காதுன்னுட்டா,கெக்ட்,18,6,987,302,26,26,18,8,76.92307829856873,6,0.3333333333333333,0.6666666666666666,1.0,0,16+
152,images/tamil_test_000316.jpg,வாடிக்கையாளர்களுக்குப்,வாழிக்,22,6,2480,309,64,64,22,42,90.625,6,0.2727272727272727,0.7727272727272727,1.0,0,16+
153,images/tamil_test_000282.jpg,அதிகரித்துள்ளதாக,அசிக்,16,5,1831,251,58,58,16,42,91.37930870056152,5,0.3125,0.75,1.0,0,16+
154,images/tamil_test_003258.jpg,இயக்கங்களுக்கும்,இய,16,2,1653,248,53,53,16,37,96.22641801834106,2,0.125,0.875,1.0,0,16+
155,images/tamil_test_000947.jpg,துரிதப்படுத்தப்பட்டுள்ளன,துரித்,24,6,1474,297,39,39,24,15,84.61538553237915,6,0.25,0.75,1.0,0,16+
156,images/tamil_test_002791.jpg,நீதிபதிகளுக்கும்,நீத்தி்,16,7,1497,355,33,33,16,17,78.78788113594055,7,0.4375,0.625,1.0,0,16+
157,images/tamil_test_000313.jpg,வேண்டியிருக்கும்,வேண்டி்,16,7,1928,253,60,60,16,44,88.33333849906921,7,0.4375,0.5625,1.0,0,16+
158,images/tamil_test_000780.jpg,வரவில்லையென்பதையும்,வரவ்,19,4,987,304,25,25,19,6,83.99999737739563,4,0.21052631578947367,0.7894736842105263,1.0,0,16+
159,images/tamil_test_003089.jpg,அதிகரித்துள்ளதாக,அதிகர்்,16,7,1844,251,58,58,16,42,87.93103694915771,7,0.4375,0.5625,1.0,0,16+
160,images/tamil_test_001807.jpg,பாரம்பரியத்துக்கு,பாரா்,17,5,1481,296,40,40,17,23,87.5,5,0.29411764705882354,0.7647058823529411,1.0,0,16+
161,images/tamil_test_002920.jpg,அர்ப்பணிப்புக்களும்,அறக்க்,19,6,1531,250,48,48,19,29,87.5,6,0.3157894736842105,0.7368421052631579,1.0,0,16+
162,images/tamil_test_000024.jpg,வைத்திருந்தாலும்,வைத்திர்்,16,9,1825,245,59,59,16,43,84.74576473236084,9,0.5625,0.4375,1.0,0,16+
163,images/tamil_test_004021.jpg,நெழ்ச்சியூட்டும்,நேக்க்,16,6,1313,322,32,32,16,16,81.25,6,0.375,0.8125,1.0,0,16+
164,images/tamil_test_002264.jpg,கம்பெனிகளிடமிருந்து,கம்ப்,19,5,1922,242,63,63,19,44,92.06349849700928,5,0.2631578947368421,0.7368421052631579,1.0,0,16+
165,images/tamil_test_000237.jpg,மிகுந்திருக்கிறதா,மிகை்,17,5,1773,298,47,47,17,30,89.36169743537903,5,0.29411764705882354,0.7647058823529411,1.0,0,16+
